7
{"x":-5473.6946805536445,"y":8099.136344713745}
{"x":-4585.436537464991,"y":9409.801357287732}
{"x":-6327.923219220958,"y":1852.419576812632}
{"x":-4112.930378625084,"y":-7237.029688720977}
{"x":1861.5565041961509,"y":-8290.374817988615}
{"x":2707.9464438291816,"y":6083.678390138835}
{"x":-2684.567724444889,"y":-3648.579806241476}
{"x":-2717.268688643575,"y":-1126.1887981428845}
{"x":9100.981061649461,"y":-1032.691029389789}
{"x":-5577.399425840881,"y":-4966.890985614614}
{"x":218.6133796662325,"y":1415.2571980459688}
{"x":3611.607544760369,"y":1901.9547862807685}
{"x":3836.0475862830845,"y":8652.915055875208}
{"x":-5853.835763732913,"y":7394.333900128608}
{"x":-2218.9792433812936,"y":-6142.457132647063}
{"x":9093.872726128655,"y":-5703.039725484799}
{"x":2999.040129621162,"y":812.6150727341901}
{"x":6092.50662153226,"y":1843.6501079163845}
{"x":6616.584290093033,"y":3081.49045917733}
{"x":-1932.259783753343,"y":1089.4026466461291}
{"x":9849.11436968794,"y":9920.575845525196}
{"x":8003.980107214058,"y":-809.5806508556907}
{"x":-6725.714459947842,"y":7507.100896407763}
{"x":5610.649575630059,"y":4120.733622164233}
{"x":2696.336642351678,"y":-7193.941021562716}
{"x":-3470.704670674414,"y":4853.603967807545}
{"x":-6148.1609201828705,"y":-4177.139816378752}
{"x":-79.45518089003963,"y":5610.652716069533}
{"x":-242.63254142084406,"y":4908.186810242445}
{"x":-9211.915488089273,"y":8134.02745695426}
{"x":3251.8660935494645,"y":5232.523749045267}
{"x":-1731.013747691206,"y":-5039.490086923825}
{"x":3234.798451333645,"y":6434.037227589361}
{"x":-8661.724522270802,"y":5186.2911484865635}
{"x":-880.5032321044746,"y":5355.51621162029}
{"x":2869.4156050524325,"y":1602.6337506554537}
{"x":-5253.278567041384,"y":-5950.632975875956}
{"x":2130.5360400138143,"y":5321.939338472486}
{"x":7.145438296942302,"y":-8961.959417794495}
{"x":-2254.282801550251,"y":-2058.8763163707654}
{"x":-7907.672945995368,"y":4240.13233105815}
{"x":-4043.3531915352796,"y":9900.836882206579}
{"x":9845.805039644976,"y":-4359.095022442587}
{"x":1625.7668324242386,"y":-5877.47360634844}
{"x":-2451.6981486376553,"y":7372.595716212141}
{"x":-7128.1846564728185,"y":9455.799161043258}
{"x":-7605.162958741732,"y":4902.218136770647}
{"x":8961.743457916149,"y":-216.20758488747197}
{"x":-4431.843117432863,"y":-8476.75131274338}
{"x":-8122.824789137621,"y":7726.067345958865}
{"x":-2415.863019934659,"y":1839.8629792598986}
{"x":4166.71619647608,"y":4595.834365473767}
{"x":7939.888442222356,"y":5472.419394570996}
{"x":3059.1328645144004,"y":5019.89157820485}
{"x":-9301.536461910579,"y":-8931.22262153228}
{"x":8883.101152837677,"y":3532.0421724329935}
{"x":-8174.619831225707,"y":987.0277239573916}
{"x":-4009.273608093238,"y":-832.4445975514609}
{"x":-3371.561067886688,"y":-532.4748746645146}
{"x":-4763.261348124839,"y":9280.43582526143}
{"x":-4039.6465907826105,"y":7269.094562331844}
{"x":-2187.2229923912446,"y":6500.012938075724}
{"x":4676.736073205659,"y":-6166.508618519349}
{"x":-6990.72082893587,"y":6647.9946153205165}
{"x":480.2661151934535,"y":-8397.220118375384}
{"x":-8205.045954326812,"y":7684.452985242315}
{"x":2552.360031449818,"y":1593.2287082837338}
{"x":-3785.9984995602235,"y":9056.229251569392}
{"x":-8215.633592404272,"y":1932.064004844693}
{"x":-6555.194702247518,"y":8259.749153376251}
{"x":6071.634549079639,"y":-5192.346496825177}
{"x":1034.7747221530171,"y":1573.2106756860467}
